Código región,Región,Código provincia,Provincia,Código comuna,Comuna,Años de escolaridad promedio,Años de escolaridad promedio para la población de 18 años o más
16,Ñuble,161,Diguillín,16102,Bulnes,"10,8","12,0"
16,Ñuble,161,Diguillín,16103,Chillán Viejo,"11,2","13,1"
16,Ñuble,161,Diguillín,16104,El Carmen,"9,9","12,3"
16,Ñuble,161,Diguillín,16105,Pemuco,"12,3","13,6"
16,Ñuble,161,Diguillín,16106,Pinto,"12,2","13,0"
16,Ñuble,161,Diguillín,16107,Quillón,"10,3","12,6"
16,Ñuble,161,Diguillín,16108,San Ignacio,"9,9","11,7"
16,Ñuble,161,Diguillín,16109,Yungay,"11,7","12,5"
16,Ñuble,162,Itata,16201,Quirihue,"11,4","12,4"
16,Ñuble,162,Itata,16202,Cobquecura,"12,8","13,1"
16,Ñuble,162,Itata,16203,Coelemu,"10,7","12,2"
16,Ñuble,162,Itata,16204,Ninhue,"12,4","13,2"
16,Ñuble,162,Itata,16205,Portezuelo,"12,2","13,5"
16,Ñuble,162,Itata,16206,Ránquil,"13,4","14,1"
16,Ñuble,162,Itata,16207,Trehuaco,"12,1","13,1"
16,Ñuble,163,Punilla,16301,San Carlos,"11,2","12,8"
16,Ñuble,163,Punilla,16302,Coihueco,"10,5","12,2"
16,Ñuble,163,Punilla,16303,Ñiquén,"11,1","11,9"
16,Ñuble,163,Punilla,16304,San Fabián,"12,1","14,1"
16,Ñuble,163,Punilla,16305,San Nicolás,"11,2","11,8"
8,Biobío,81,Concepción,8101,Concepción,"12,4","14,1"
8,Biobío,81,Concepción,8102,Coronel,"10,6","12,5"
8,Biobío,81,Concepción,8103,Chiguayante,"11,9","13,8"
8,Biobío,81,Concepción,8104,Florida,"11,5","13,1"
8,Biobío,81,Concepción,8105,Hualqui,"10,2","12,0"
8,Biobío,81,Concepción,8106,Lota,"10,7","12,5"
8,Biobío,81,Concepción,8107,Penco,"11,4","13,2"
8,Biobío,81,Concepción,8108,San Pedro de La paz,"11,9","14,0"
8,Biobío,81,Concepción,8109,Santa Juana,"10,6","12,7"
8,Biobío,81,Concepción,8110,Talcahuano,"11,2","13,1"
8,Biobío,81,Concepción,8111,Tomé,"11,3","13,2"
8,Biobío,81,Concepción,8112,Hualpén,"11,6","13,4"
8,Biobío,82,Arauco,8201,Lebu,"9,7","11,3"
8,Biobío,82,Arauco,8202,Arauco,"11,2","13,1"
8,Biobío,82,Arauco,8203,Cañete,"10,6","11,9"
8,Biobío,82,Arauco,8204,Contulmo,"9,9","11,6"
8,Biobío,82,Arauco,8205,Curanilahue,"10,8","12,7"
8,Biobío,82,Arauco,8206,Los Álamos,"11,1","12,2"
8,Biobío,82,Arauco,8207,Tirúa,"13,1","13,7"
8,Biobío,83,Biobío,8301,Los Ángeles,"11,6","13,4"
8,Biobío,83,Biobío,8302,Antuco,"11,1","11,9"
8,Biobío,83,Biobío,8303,Cabrero,"10,6","12,8"
8,Biobío,83,Biobío,8304,Laja,"11,3","13,2"
8,Biobío,83,Biobío,8305,Mulchén,"11,5","12,5"
8,Biobío,83,Biobío,8306,Nacimiento,"10,8","12,3"
8,Biobío,83,Biobío,8307,Negrete,"11,3","12,4"
8,Biobío,83,Biobío,8308,Quilaco,"10,3","12,1"
8,Biobío,83,Biobío,8309,Quilleco,"10,4","12,2"
8,Biobío,83,Biobío,8310,San Rosendo,"12,6","14,0"
8,Biobío,83,Biobío,8311,Santa Bárbara,"11,4","13,0"
8,Biobío,83,Biobío,8312,Tucapel,"10,4","12,1"
8,Biobío,83,Biobío,8313,Yumbel,"10,9","12,9"
