Código región,Región,Código provincia,Provincia,Código comuna,Comuna,Viviendas particulares ocupadas con moradores presentes,Viviendas sin hacinamiento,Viviendas con hacinamiento medio,Viviendas con hacinamiento crítico,Índice de hacinamiento ignorado
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6109,Malloa,4.824,4.546,252,26,0
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6110,Mostazal,8.756,8.155,551,50,0
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6111,Olivar,4.634,4.391,229,13,1
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6112,Peumo,4.767,4.475,257,35,0
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6113,Pichidegua,7.063,6.626,415,22,0
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6114,Quinta de Tilcoco,4.698,4.435,242,21,0
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6115,Rengo,21.814,20.559,1.175,80,0
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6116,Requínoa,9.631,9.065,517,48,1
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6117,San Vicente,17.267,16.339,823,105,0
6,Libertador General Bernardo O'Higgins,62,Cardenal Caro,6201,Pichilemu,7.642,7.284,308,48,2
6,Libertador General Bernardo O'Higgins,62,Cardenal Caro,6202,La Estrella,1.784,1.689,86,9,0
6,Libertador General Bernardo O'Higgins,62,Cardenal Caro,6203,Litueche,3.349,3.157,169,23,0
6,Libertador General Bernardo O'Higgins,62,Cardenal Caro,6204,Marchihue,3.249,3.070,163,16,0
6,Libertador General Bernardo O'Higgins,62,Cardenal Caro,6205,Navidad,3.628,3.451,162,15,0
6,Libertador General Bernardo O'Higgins,62,Cardenal Caro,6206,Paredones,2.829,2.701,112,15,1
6,Libertador General Bernardo O'Higgins,63,Colchagua,6301,San Fernando,26.879,25.488,1.299,91,1
6,Libertador General Bernardo O'Higgins,63,Colchagua,6302,Chépica,5.393,5.095,282,16,0
6,Libertador General Bernardo O'Higgins,63,Colchagua,6303,Chimbarongo,13.000,12.221,697,82,0
6,Libertador General Bernardo O'Higgins,63,Colchagua,6304,Lolol,2.838,2.670,163,5,0
6,Libertador General Bernardo O'Higgins,63,Colchagua,6305,Nancagua,6.274,5.878,368,28,0
6,Libertador General Bernardo O'Higgins,63,Colchagua,6306,Palmilla,4.341,4.088,234,19,0
6,Libertador General Bernardo O'Higgins,63,Colchagua,6307,Peralillo,4.408,4.178,212,18,0
6,Libertador General Bernardo O'Higgins,63,Colchagua,6308,Placilla,3.231,3.051,166,14,0
6,Libertador General Bernardo O'Higgins,63,Colchagua,6309,Pumanque,1.752,1.680,61,10,1
6,Libertador General Bernardo O'Higgins,63,Colchagua,6310,Santa Cruz,14.412,13.683,668,61,0
7,Maule,71,Talca,7101,Talca,82.742,78.905,3.520,314,3
